time,latitude,longitude,SST_monthly_C
1982-01-01,10.325,10.325,27.904
1982-02-01,10.325,10.325,27.476
1982-03-01,10.325,10.325,27.168
1982-04-01,10.325,10.325,27.146
1982-05-01,10.325,10.325,28.450
1982-06-01,10.325,10.325,29.222
1982-07-01,10.325,10.325,28.577
1982-08-01,10.325,10.325,28.680
1982-09-01,10.325,10.325,28.474
1982-10-01,10.325,10.325,29.268
1982-11-01,10.325,10.325,28.773
1982-12-01,10.325,10.325,27.533
1983-01-01,10.325,10.325,27.080
1983-02-01,10.325,10.325,26.711
1983-03-01,10.325,10.325,27.254
1983-04-01,10.325,10.325,27.758
1983-05-01,10.325,10.325,29.120
1983-06-01,10.325,10.325,29.694
1983-07-01,10.325,10.325,29.055
1983-08-01,10.325,10.325,29.091
1983-09-01,10.325,10.325,29.296
1983-10-01,10.325,10.325,29.262
1983-11-01,10.325,10.325,29.043
1983-12-01,10.325,10.325,28.531
1984-01-01,10.325,10.325,27.508
1984-02-01,10.325,10.325,27.260
1984-03-01,10.325,10.325,26.970
1984-04-01,10.325,10.325,27.301
1984-05-01,10.325,10.325,28.495
1984-06-01,10.325,10.325,29.101
1984-07-01,10.325,10.325,28.762
1984-08-01,10.325,10.325,28.915
1984-09-01,10.325,10.325,29.020
1984-10-01,10.325,10.325,28.986
1984-11-01,10.325,10.325,28.807
1984-12-01,10.325,10.325,27.469
1985-01-01,10.325,10.325,26.632
1985-02-01,10.325,10.325,26.537
1985-03-01,10.325,10.325,26.088
1985-04-01,10.325,10.325,26.595
1985-05-01,10.325,10.325,27.795
1985-06-01,10.325,10.325,28.826
1985-07-01,10.325,10.325,29.103
1985-08-01,10.325,10.325,29.168
1985-09-01,10.325,10.325,28.967
1985-10-01,10.325,10.325,29.218
1985-11-01,10.325,10.325,28.365
1985-12-01,10.325,10.325,27.896
1986-01-01,10.325,10.325,27.161
1986-02-01,10.325,10.325,26.650
1986-03-01,10.325,10.325,26.280
1986-04-01,10.325,10.325,26.877
1986-05-01,10.325,10.325,27.832
1986-06-01,10.325,10.325,29.269
